,Long,Lat,title,datastreamName,datastreamDescription,observationType,unitOfCategory,phenomenonTime,resultTime,result,submitTime,imageStatus,parameters,licenseName,licenseURI,attributionDataSource,attributionDataAggregator,validationStatus,validationMethod,validationResult,qualityDescription,qualityGrade,observedPropertyName,observedPropertyDescription,observedPropertyDefinition,sensorName,sensorDescription,sensorEncodingType,sensorMetadata,locationName,locationDescription,locationEncodingType,latitude,longitude,volunteerName,volunteerDescription,volunteerProperties,featureName,featureDescription,featureEncodingType,featureLocation,type,coordinates
0,2.23587,6.42818,GLOBE Observer Mosquito Habitats,Moquito Habitats 2543222,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",5/9/2023 9:47,5/9/2023 0:00,,6/27/2023 10:45,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 2543222,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH155106,319744,GeoJSON,6.428180218,2.235869884,User: 2543222,Evaluation Working Group,container: natural,31NDH155106,319744,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.42818', 'location.locationDetails.stationaryProperties.longitude': '2.23587'}",Point,"['2.23587', '6.42818']"
1,2.33807,6.41566,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",7/5/2022 16:04,7/5/2022 0:00,https://data.globe.gov/system/photos/2022/07/05/2937719/original.jpg,7/5/2022 16:10,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH268092,282477,GeoJSON,6.415659904,2.338069916,User: 51262501,University of Abomey Calavi,still: lake/pond/swamp,31NDH268092,282477,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.41566', 'location.locationDetails.stationaryProperties.longitude': '2.33807'}",Point,"['2.33807', '6.41566']"
2,2.34801,6.41567,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",12:00.0,7/5/2022 0:00,https://data.globe.gov/system/photos/2022/07/05/2937722/original.jpg,15:03.0,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH279092,282478,GeoJSON,6.415669918,2.348010063,User: 51262501,University of Abomey Calavi,container: artificial,31NDH279092,282478,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.41567', 'location.locationDetails.stationaryProperties.longitude': '2.34801'}",Point,"['2.34801', '6.41567']"
3,2.33807,6.41566,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",7/5/2022 16:10,7/5/2022 0:00,https://data.globe.gov/system/photos/2022/07/05/2937721/original.jpg,7/5/2022 16:10,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH268092,282477,GeoJSON,6.415659904,2.338069916,User: 51262501,University of Abomey Calavi,container: artificial,31NDH268092,282477,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.41566', 'location.locationDetails.stationaryProperties.longitude': '2.33807'}",Point,"['2.33807', '6.41566']"
4,2.33807,6.41566,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",7/5/2022 16:14,7/5/2022 0:00,https://data.globe.gov/system/photos/2022/07/05/2937723/original.jpg,7/5/2022 16:10,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH268092,282477,GeoJSON,6.415659904,2.338069916,User: 51262501,University of Abomey Calavi,container: artificial,31NDH268092,282477,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.41566', 'location.locationDetails.stationaryProperties.longitude': '2.33807'}",Point,"['2.33807', '6.41566']"
5,2.33807,6.41566,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",7/5/2022 16:08,7/5/2022 0:00,https://data.globe.gov/system/photos/2022/07/05/2937720/original.jpg,7/5/2022 16:10,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH268092,282477,GeoJSON,6.415659904,2.338069916,User: 51262501,University of Abomey Calavi,container: artificial,31NDH268092,282477,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.41566', 'location.locationDetails.stationaryProperties.longitude': '2.33807'}",Point,"['2.33807', '6.41566']"
6,2.15909,6.38193,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",4/7/2021 13:14,4/7/2021 0:00,,6/28/2022 15:25,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH070055,234091,GeoJSON,6.381929874,2.159090042,User: 51262501,University of Abomey Calavi,container: natural,31NDH070055,234091,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.38193', 'location.locationDetails.stationaryProperties.longitude': '2.15909'}",Point,"['2.15909', '6.38193']"
7,2.3561,6.46,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",4/7/2021 17:35,4/7/2021 0:00,https://data.globe.gov/system/photos/2021/04/07/2196583/original.jpg,6/28/2022 15:25,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH288141,234117,GeoJSON,6.460000038,2.356100082,User: 51262501,University of Abomey Calavi,still: lake/pond/swamp,31NDH288141,234117,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.46', 'location.locationDetails.stationaryProperties.longitude': '2.3561'}",Point,"['2.3561', '6.46']"
8,2.29975,6.65984,GLOBE Observer Mosquito Habitats,Moquito Habitats 79104266,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",4/15/2021 6:36,4/15/2021 0:00,https://data.globe.gov/system/photos/2021/04/15/2207273/original.jpg,6/28/2022 15:25,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 79104266,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH226362,234840,GeoJSON,6.659840107,2.29975009,User: 79104266,EBENEZER AFRICAN CHURCH PRIMARY SCHOOL 1,still: lake/pond/swamp,31NDH226362,234840,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.65984', 'location.locationDetails.stationaryProperties.longitude': '2.29975'}",Point,"['2.29975', '6.65984']"
9,2.41227,6.37052,GLOBE Observer Mosquito Habitats,Moquito Habitats 51262501,All data on Mosquito Habitats from NA,Sensor,"Mosquito Habitat, NA, NC",12/10/2020 11:11,12/10/2020 0:00,,6/28/2022 14:43,1,0,,https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088,User: 51262501,Global Learning and Observations to Benefit the Environment (GLOBE),1,Our Validation method is as follows: 1) GLOBE Observer App has its own validators to ensure the requested data type matches the received value. 2) GLOBE Observer Team validates the photos to ensure they are useful and match the area where the photographer took the photo. 3) Our pre-processing algorithms ensure values entered are appropriate and reasonable. Our code also creates quality assurance flag to allow Users to better summarize the data.,FALSE (Entries with their photos undergoing GLOBE's validation process will have a 'pending' code for their photos. NOTE: Some entries' photos will be listed as 'rejected'. Photos that pass our validation process will include GLOBE's URL to that photo),GLOBE Observer Data Guide: https://www.globe.gov/documents/10157/2592674/GLOBE+Data+User+Guide_v1_final.pdf/863a971d-95c5-4dd9-b75c-46713f019088 (Page 25),research,Mosquito Habitats,Mosquito Habitats as documented by a photo,https://observer.globe.gov/toolkit/mosquito-habitat-mapper-toolkit,,,,NC,31NDH350042,234090,GeoJSON,6.370520115,2.412270069,User: 51262501,University of Abomey Calavi,container: artificial,31NDH350042,234090,GeoJSON,"{'location.locationDetails.stationaryProperties.latitude': '6.37052', 'location.locationDetails.stationaryProperties.longitude': '2.41227'}",Point,"['2.41227', '6.37052']"
