date,lat,lon,t_abs
2017-05-16,-67.5,37.5,-10.08
2017-05-16,-67.5,62.5,-13.47
2017-05-16,-67.5,112.5,-11.89
2017-05-16,-62.5,-57.5,-4.5266666
2017-05-16,-62.5,-42.5,-3.94
2017-05-16,-52.5,-72.5,4.66
2017-05-16,-52.5,-67.5,4.9300003
2017-05-16,-52.5,-62.5,5.64
2017-05-16,-52.5,-57.5,5.89
2017-05-16,-47.5,-72.5,4.55
2017-05-16,-47.5,-67.5,9.195
2017-05-16,-42.5,-72.5,6.726667
2017-05-16,-42.5,-67.5,12.02
2017-05-16,-42.5,-62.5,11.36
2017-05-16,-42.5,-7.5,10.99
2017-05-16,-42.5,142.5,12.32
2017-05-16,-42.5,147.5,9.729411
2017-05-16,-42.5,172.5,10.49
2017-05-16,-37.5,-72.5,10.98
2017-05-16,-37.5,-67.5,8.98
2017-05-16,-37.5,-62.5,11.934999
2017-05-16,-37.5,-57.5,12.25
2017-05-16,-37.5,77.5,14.14
2017-05-16,-37.5,137.5,13.497499
2017-05-16,-37.5,142.5,10.871428
2017-05-16,-37.5,147.5,10.0876665
2017-05-16,-37.5,152.5,14.645
2017-05-16,-37.5,172.5,13.64
2017-05-16,-32.5,-72.5,10.7
2017-05-16,-32.5,-67.5,12.89
2017-05-16,-32.5,-62.5,14.485555
2017-05-16,-32.5,-57.5,15.442858
2017-05-16,-32.5,-52.5,14.96
2017-05-16,-32.5,17.5,15.903333
2017-05-16,-32.5,22.5,15.149999
2017-05-16,-32.5,27.5,16.6375
2017-05-16,-32.5,117.5,15.154762
2017-05-16,-32.5,122.5,14.195
2017-05-16,-32.5,127.5,15.155001
2017-05-16,-32.5,132.5,14.3
2017-05-16,-32.5,137.5,13.102143
2017-05-16,-32.5,142.5,12.123333
2017-05-16,-32.5,147.5,11.043636
2017-05-16,-32.5,152.5,13.954781
2017-05-16,-32.5,157.5,19.29
2017-05-16,-27.5,-67.5,16.213333
2017-05-16,-27.5,-62.5,17.156668
2017-05-16,-27.5,-57.5,19.480999
2017-05-16,-27.5,-52.5,19.332
2017-05-16,-27.5,-47.5,18.29
2017-05-16,-27.5,17.5,19.07
2017-05-16,-27.5,22.5,17.43
2017-05-16,-27.5,27.5,12.75
2017-05-16,-27.5,32.5,19.656666
2017-05-16,-27.5,47.5,23.62
2017-05-16,-27.5,112.5,17.75
2017-05-16,-27.5,117.5,17.055
2017-05-16,-27.5,122.5,16.29
2017-05-16,-27.5,132.5,15.77
2017-05-16,-27.5,137.5,17.68
2017-05-16,-27.5,142.5,17.470001
2017-05-16,-27.5,147.5,16.6
2017-05-16,-27.5,152.5,17.050556
2017-05-16,-27.5,167.5,19.17
2017-05-16,-22.5,-177.5,24.46
2017-05-16,-22.5,-157.5,24.8
2017-05-16,-22.5,-147.5,24.21
2017-05-16,-22.5,-72.5,18.48
2017-05-16,-22.5,-67.5,14.25
2017-05-16,-22.5,-62.5,17.48
2017-05-16,-22.5,-57.5,22.076668
2017-05-16,-22.5,-52.5,22.31
2017-05-16,-22.5,-47.5,19.119999
2017-05-16,-22.5,-42.5,22.083334
2017-05-16,-22.5,17.5,16.765
2017-05-16,-22.5,27.5,17.19
2017-05-16,-22.5,32.5,19.626667
2017-05-16,-22.5,42.5,24.83
2017-05-16,-22.5,57.5,23.6
2017-05-16,-22.5,112.5,21.525
2017-05-16,-22.5,117.5,23.678335
2017-05-16,-22.5,122.5,23.96
2017-05-16,-22.5,137.5,20.56
2017-05-16,-22.5,142.5,22.970001
2017-05-16,-22.5,147.5,21.048
2017-05-16,-22.5,152.5,21.245
2017-05-16,-22.5,167.5,23.476667
2017-05-16,-17.5,-177.5,26.49
2017-05-16,-17.5,-172.5,25.935
2017-05-16,-17.5,-167.5,24.8
2017-05-16,-17.5,-157.5,25.22
2017-05-16,-17.5,-152.5,27.96
2017-05-16,-17.5,-72.5,13.375
2017-05-16,-17.5,-67.5,16.91
2017-05-16,-17.5,-62.5,21.39
2017-05-16,-17.5,-57.5,27.64
2017-05-16,-17.5,-47.5,22.636665
2017-05-16,-17.5,-42.5,20.42
2017-05-16,-17.5,-7.5,19.61
2017-05-16,-17.5,17.5,21.33
2017-05-16,-17.5,22.5,19.5
2017-05-16,-17.5,27.5,20.185001
2017-05-16,-17.5,32.5,20.2
2017-05-16,-17.5,37.5,23.49
2017-05-16,-17.5,47.5,23.313334
2017-05-16,-17.5,62.5,25.15
2017-05-16,-17.5,122.5,24.724998
2017-05-16,-17.5,127.5,24.866667
2017-05-16,-17.5,132.5,24.09
2017-05-16,-17.5,137.5,24.7775
2017-05-16,-17.5,142.5,24.77
2017-05-16,-17.5,147.5,23.42625
2017-05-16,-17.5,167.5,26.016668
2017-05-16,-17.5,177.5,26.44
2017-05-16,-12.5,-177.5,27.79
2017-05-16,-12.5,-172.5,27.64
2017-05-16,-12.5,-77.5,20.16
2017-05-16,-12.5,-72.5,13.16
2017-05-16,-12.5,-37.5,25.31
2017-05-16,-12.5,47.5,27.93
2017-05-16,-12.5,57.5,28.04
2017-05-16,-12.5,132.5,25.858002
2017-05-16,-12.5,142.5,21.675
2017-05-16,-12.5,177.5,28.47
2017-05-16,-7.5,-157.5,28.86
2017-05-16,-7.5,-82.5,24.71
2017-05-16,-7.5,-77.5,27.47
2017-05-16,-7.5,-72.5,28.45
2017-05-16,-7.5,-67.5,25.43
2017-05-16,-7.5,-62.5,26.46
2017-05-16,-7.5,-47.5,27.65
2017-05-16,-7.5,-42.5,26.96
2017-05-16,-7.5,-37.5,26.26
2017-05-16,-7.5,-32.5,26.4
2017-05-16,-7.5,-12.5,27.16
2017-05-16,-7.5,37.5,25.63
2017-05-16,-7.5,107.5,28.855
2017-05-16,-7.5,112.5,28.636667
2017-05-16,-7.5,117.5,27.4675
2017-05-16,-7.5,122.5,28.11
2017-05-16,-7.5,132.5,27.575
2017-05-16,-7.5,157.5,27.56
2017-05-16,-7.5,162.5,27.17
2017-05-16,-7.5,177.5,29.24
2017-05-16,-2.5,-82.5,26.2
2017-05-16,-2.5,-77.5,18.994999
2017-05-16,-2.5,-72.5,26.32
2017-05-16,-2.5,-67.5,25.84
2017-05-16,-2.5,-62.5,26.79
2017-05-16,-2.5,-57.5,27.6
2017-05-16,-2.5,-52.5,26.68
2017-05-16,-2.5,-47.5,26.64
2017-05-16,-2.5,-37.5,27.78
2017-05-16,-2.5,12.5,26.81
2017-05-16,-2.5,32.5,22.48
2017-05-16,-2.5,37.5,21.274288
2017-05-16,-2.5,57.5,28.26
2017-05-16,-2.5,102.5,27.705
2017-05-16,-2.5,107.5,27.89
2017-05-16,-2.5,112.5,27.573334
2017-05-16,-2.5,117.5,27.769999
2017-05-16,-2.5,122.5,27.45
2017-05-16,-2.5,127.5,26.62
2017-05-16,2.5,-77.5,22.415
2017-05-16,2.5,-72.5,14.38
2017-05-16,2.5,-62.5,26.42
2017-05-16,2.5,-52.5,28.46
2017-05-16,2.5,-7.5,27.43
2017-05-16,2.5,7.5,27.25
2017-05-16,2.5,17.5,26.51
2017-05-16,2.5,32.5,18.77
2017-05-16,2.5,37.5,22.423334
2017-05-16,2.5,97.5,27.445
2017-05-16,2.5,102.5,28.179998
2017-05-16,2.5,112.5,27.766
2017-05-16,2.5,117.5,27.59
2017-05-16,2.5,122.5,27.39
2017-05-16,2.5,172.5,28.68
2017-05-16,7.5,-82.5,26.016668
2017-05-16,7.5,-77.5,22.085
2017-05-16,7.5,-72.5,28.02
2017-05-16,7.5,-57.5,26.69
2017-05-16,7.5,-7.5,27.185
2017-05-16,7.5,2.5,27.674286
2017-05-16,7.5,17.5,30.23
2017-05-16,7.5,37.5,18.07
2017-05-16,7.5,77.5,29.133333
2017-05-16,7.5,82.5,23.045
2017-05-16,7.5,97.5,28.26125
2017-05-16,7.5,102.5,28.585
2017-05-16,7.5,107.5,28.795
2017-05-16,7.5,112.5,29.34
