,date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1312,2017-06-01,5902,BJ0605,15.0,60.8667,54.9089,165.8,156.6022,332.0667,387.3822,109.9447,105.5208,86.08,final
1313,2017-06-11,5902,BJ0605,15.0,64.0,51.4222,187.6667,158.34,389.8667,405.2822,122.2922,117.4211,96.2879,final
1314,2017-06-21,5902,BJ0605,15.0,71.0,41.6867,195.8667,148.0178,439.0667,415.1289,162.7874,130.2807,105.6307,final
1315,2017-07-01,5902,BJ0605,15.0,50.0,43.2933,185.0,136.4022,468.8,420.4089,113.8874,133.1947,111.2431,final
1316,2017-07-11,5902,BJ0605,15.0,8.8,39.9267,129.8,124.9067,426.8667,419.3467,30.7167,103.6272,101.7515,final
1317,2017-07-21,5902,BJ0605,15.0,49.0667,29.6378,107.8667,112.8578,469.4667,413.6689,156.0916,95.9375,113.1701,final
1318,2017-08-01,5902,BJ0605,15.0,37.9333,18.1356,95.8,87.7,446.6,380.7044,185.573,108.2907,116.8658,final
1319,2017-08-11,5902,BJ0605,15.0,17.6667,24.4311,104.6667,72.2044,422.1333,355.4511,77.016,139.4896,118.2466,final
1320,2017-08-21,5902,BJ0605,15.0,36.3333,34.3067,91.9333,76.8733,395.6667,337.7489,105.156,117.3356,116.6551,final
1321,2017-09-01,5902,BJ0605,15.0,24.2,42.3311,78.2,101.0689,359.0,325.1711,61.693,79.4102,110.093,final
1322,2017-09-11,5902,BJ0605,15.0,28.2,45.7511,88.7333,122.3889,323.2,319.5,65.4173,74.5783,101.1229,final
1323,2017-09-21,5902,BJ0605,15.0,34.6667,58.3867,87.0667,146.4689,286.8667,336.2,62.5789,62.0358,85.75,final
1324,2017-10-01,5902,BJ0605,15.0,23.2,51.56,86.0667,155.6978,260.0667,344.4667,49.8586,57.977,76.1896,final
1325,2017-10-11,5902,BJ0605,15.0,23.4,54.0222,81.2667,163.9689,274.6667,358.5622,48.1175,52.4615,77.2371,final
1326,2017-10-21,5902,BJ0605,15.0,16.1333,49.7533,62.7333,155.3356,241.7333,378.6778,38.5973,43.9913,64.7666,final
1327,2017-11-01,5902,BJ0605,15.0,22.5333,21.0067,62.0667,124.7822,226.3333,381.5489,105.8703,53.469,60.3586,final
1328,2017-11-11,5902,BJ0605,15.0,7.9333,10.3533,46.6,81.1133,216.6,367.4711,84.238,62.1204,60.0311,final
1329,2017-11-21,5902,BJ0605,15.0,31.6667,8.8689,62.1333,40.2289,211.9333,342.0333,264.3807,143.6093,63.0433,final
1330,2017-12-01,5902,BJ0605,15.0,9.0,4.8911,48.6,24.1133,196.7333,304.5933,141.5412,171.7803,65.7145,final
1331,2017-12-11,5902,BJ0605,15.0,1.9333,4.7533,42.6,18.5133,170.4667,263.5956,71.0868,184.4751,65.9611,final
1332,2017-12-21,5902,BJ0605,15.0,2.4,4.5222,13.3333,14.1667,138.2,209.7311,77.713,96.5517,67.4461,final
