,time,lat,lon,t_abs
361085,2017-05-16T24:00:00Z,-67.5,37.5,-10.08
361086,2017-05-16T24:00:00Z,-67.5,62.5,-13.47
361087,2017-05-16T24:00:00Z,-67.5,112.5,-11.89
361088,2017-05-16T24:00:00Z,-62.5,-57.5,-4.5266666
361089,2017-05-16T24:00:00Z,-62.5,-42.5,-3.94
361090,2017-05-16T24:00:00Z,-52.5,-72.5,4.66
361091,2017-05-16T24:00:00Z,-52.5,-67.5,4.9300003
361092,2017-05-16T24:00:00Z,-52.5,-62.5,5.64
361093,2017-05-16T24:00:00Z,-52.5,-57.5,5.89
361094,2017-05-16T24:00:00Z,-47.5,-72.5,4.55
361095,2017-05-16T24:00:00Z,-47.5,-67.5,9.195
361096,2017-05-16T24:00:00Z,-42.5,-72.5,6.726667
361097,2017-05-16T24:00:00Z,-42.5,-67.5,12.02
361098,2017-05-16T24:00:00Z,-42.5,-62.5,11.36
361099,2017-05-16T24:00:00Z,-42.5,-7.5,10.99
361100,2017-05-16T24:00:00Z,-42.5,142.5,12.32
361101,2017-05-16T24:00:00Z,-42.5,147.5,9.729411
361102,2017-05-16T24:00:00Z,-42.5,172.5,10.49
361103,2017-05-16T24:00:00Z,-37.5,-72.5,10.98
361104,2017-05-16T24:00:00Z,-37.5,-67.5,8.98
361105,2017-05-16T24:00:00Z,-37.5,-62.5,11.934999
361106,2017-05-16T24:00:00Z,-37.5,-57.5,12.25
361107,2017-05-16T24:00:00Z,-37.5,77.5,14.14
361108,2017-05-16T24:00:00Z,-37.5,137.5,13.497499
361109,2017-05-16T24:00:00Z,-37.5,142.5,10.871428
361110,2017-05-16T24:00:00Z,-37.5,147.5,10.0876665
361111,2017-05-16T24:00:00Z,-37.5,152.5,14.645
361112,2017-05-16T24:00:00Z,-37.5,172.5,13.64
361113,2017-05-16T24:00:00Z,-32.5,-72.5,10.7
361114,2017-05-16T24:00:00Z,-32.5,-67.5,12.89
361115,2017-05-16T24:00:00Z,-32.5,-62.5,14.485555
361116,2017-05-16T24:00:00Z,-32.5,-57.5,15.442858
361117,2017-05-16T24:00:00Z,-32.5,-52.5,14.96
361118,2017-05-16T24:00:00Z,-32.5,17.5,15.903333
361119,2017-05-16T24:00:00Z,-32.5,22.5,15.149999
361120,2017-05-16T24:00:00Z,-32.5,27.5,16.6375
361121,2017-05-16T24:00:00Z,-32.5,117.5,15.154762
361122,2017-05-16T24:00:00Z,-32.5,122.5,14.195
361123,2017-05-16T24:00:00Z,-32.5,127.5,15.155001
