date,adm2_id,ADM2_PCODE,n_pixels,vim,vim_avg,viq
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+vim+num,#indicator+vim_avg+num,#indicator+viq+pct
2002-07-01,5902,BJ0605,15.0,0.7625,0.7598,100.3302
2002-07-11,5902,BJ0605,15.0,0.7625,0.7582,100.5303
2002-07-21,5902,BJ0605,15.0,0.7625,0.7566,100.7301
2002-08-01,5902,BJ0605,15.0,0.7627,0.7561,100.8128
2002-08-11,5902,BJ0605,15.0,0.7634,0.7572,100.7631
2002-08-21,5902,BJ0605,15.0,0.7642,0.7596,100.5676
2002-09-01,5902,BJ0605,15.0,0.7647,0.7624,100.2858
2002-09-11,5902,BJ0605,15.0,0.7653,0.7648,100.0608
2002-09-21,5902,BJ0605,15.0,0.766,0.7666,99.9324
2002-10-01,5902,BJ0605,15.0,0.7672,0.7674,99.9758
2002-10-11,5902,BJ0605,15.0,0.767,0.766,100.1152
2002-10-21,5902,BJ0605,15.0,0.7633,0.7609,100.2973
2002-11-01,5902,BJ0605,15.0,0.7554,0.7505,100.6104
2002-11-11,5902,BJ0605,15.0,0.7435,0.7344,101.1551
2002-11-21,5902,BJ0605,15.0,0.7269,0.712,101.9531
2002-12-01,5902,BJ0605,15.0,0.7053,0.6833,103.0061
2002-12-11,5902,BJ0605,15.0,0.6788,0.6491,104.2472
2002-12-21,5902,BJ0605,15.0,0.646,0.6107,105.338
2003-01-01,5902,BJ0605,15.0,0.6036,0.5684,105.6984
2003-01-11,5902,BJ0605,15.0,0.5627,0.5338,104.9424
2003-01-21,5902,BJ0605,15.0,0.5305,0.511,103.4703
2003-02-01,5902,BJ0605,15.0,0.5056,0.4973,101.5112
2003-02-11,5902,BJ0605,15.0,0.4912,0.4943,99.4383
2003-02-21,5902,BJ0605,15.0,0.4871,0.5001,97.6431
2003-03-01,5902,BJ0605,15.0,0.4924,0.5139,96.187
2003-03-11,5902,BJ0605,15.0,0.5099,0.5364,95.4794
2003-03-21,5902,BJ0605,15.0,0.5416,0.5666,95.9404
2003-04-01,5902,BJ0605,15.0,0.5827,0.601,97.1843
2003-04-11,5902,BJ0605,15.0,0.6244,0.635,98.4513
2003-04-21,5902,BJ0605,15.0,0.663,0.6677,99.3376
2003-05-01,5902,BJ0605,15.0,0.6979,0.6973,100.0807
2003-05-11,5902,BJ0605,15.0,0.7277,0.7216,100.7858
2003-05-21,5902,BJ0605,15.0,0.7516,0.7403,101.4221
2003-06-01,5902,BJ0605,15.0,0.7676,0.7523,101.9042
2003-06-11,5902,BJ0605,15.0,0.775,0.7582,102.0799
2003-06-21,5902,BJ0605,15.0,0.7754,0.7602,101.8784
2003-07-01,5902,BJ0605,15.0,0.7706,0.7598,101.3362
2003-07-11,5902,BJ0605,15.0,0.7634,0.7582,100.6507
2003-07-21,5902,BJ0605,15.0,0.7564,0.7566,99.9812
2003-08-01,5902,BJ0605,15.0,0.7528,0.7561,99.5814
2003-08-11,5902,BJ0605,15.0,0.7536,0.7572,99.5533
2003-08-21,5902,BJ0605,15.0,0.7586,0.7596,99.8693
2003-09-01,5902,BJ0605,15.0,0.7653,0.7624,100.3629
2003-09-11,5902,BJ0605,15.0,0.7714,0.7648,100.8144
2003-09-21,5902,BJ0605,15.0,0.7763,0.7666,101.193
2003-10-01,5902,BJ0605,15.0,0.7792,0.7674,101.4423
2003-10-11,5902,BJ0605,15.0,0.7793,0.766,101.6282
2003-10-21,5902,BJ0605,15.0,0.7756,0.7609,101.8026
2003-11-01,5902,BJ0605,15.0,0.766,0.7505,101.9354
2003-11-11,5902,BJ0605,15.0,0.7499,0.7344,101.9761
2003-11-21,5902,BJ0605,15.0,0.7261,0.712,101.8508
2003-12-01,5902,BJ0605,15.0,0.6948,0.6833,101.5769
2003-12-11,5902,BJ0605,15.0,0.6582,0.6491,101.2968
2003-12-21,5902,BJ0605,15.0,0.6186,0.6107,101.1951
2004-01-01,5902,BJ0605,15.0,0.5771,0.5684,101.4131
2004-01-11,5902,BJ0605,15.0,0.5459,0.5338,102.0796
2004-01-21,5902,BJ0605,15.0,0.5281,0.511,103.0461
2004-02-01,5902,BJ0605,15.0,0.5167,0.4973,103.5418
2004-02-11,5902,BJ0605,15.0,0.5128,0.4943,103.3983
2004-02-21,5902,BJ0605,15.0,0.5135,0.5001,102.4328
2004-03-01,5902,BJ0605,15.0,0.5147,0.5139,100.1465
2004-03-11,5902,BJ0605,15.0,0.5204,0.5364,97.2631
2004-03-21,5902,BJ0605,15.0,0.5357,0.5666,94.9825
2004-04-01,5902,BJ0605,15.0,0.56,0.601,93.6974
2004-04-11,5902,BJ0605,15.0,0.5885,0.635,93.2192
2004-04-21,5902,BJ0605,15.0,0.6189,0.6677,93.1989
2004-05-01,5902,BJ0605,15.0,0.6494,0.6973,93.5904
2004-05-11,5902,BJ0605,15.0,0.6789,0.7216,94.4725
2004-05-21,5902,BJ0605,15.0,0.7074,0.7403,95.8338
2004-06-01,5902,BJ0605,15.0,0.7318,0.7523,97.4461
2004-06-11,5902,BJ0605,15.0,0.7493,0.7582,98.8918
2004-06-21,5902,BJ0605,15.0,0.7609,0.7602,100.0781
2004-07-01,5902,BJ0605,15.0,0.7672,0.7598,100.9097
2004-07-11,5902,BJ0605,15.0,0.7695,0.7582,101.4064
2004-07-21,5902,BJ0605,15.0,0.7697,0.7566,101.6285
2004-08-01,5902,BJ0605,15.0,0.7695,0.7561,101.653
2004-08-11,5902,BJ0605,15.0,0.7699,0.7572,101.5626
2004-08-21,5902,BJ0605,15.0,0.7707,0.7596,101.3738
2004-09-01,5902,BJ0605,15.0,0.771,0.7624,101.067
2004-09-11,5902,BJ0605,15.0,0.7704,0.7648,100.6876
2004-09-21,5902,BJ0605,15.0,0.7687,0.7666,100.2541
2004-10-01,5902,BJ0605,15.0,0.7657,0.7674,99.7972
2004-10-11,5902,BJ0605,15.0,0.7602,0.766,99.2868
2004-10-21,5902,BJ0605,15.0,0.7512,0.7609,98.7937
2004-11-01,5902,BJ0605,15.0,0.738,0.7505,98.4318
2004-11-11,5902,BJ0605,15.0,0.7214,0.7344,98.3404
2004-11-21,5902,BJ0605,15.0,0.702,0.712,98.6873
2004-12-01,5902,BJ0605,15.0,0.6805,0.6833,99.6204
